"Tumor_Sample_Barcode","total","total_perMB","total_perMB_log"
"z4207_T1_DKDL230009038-1A_HLGGCDSX7_L1_C",10,0.303030303030303,-0.518513939877888
"z5231_T1_DKDL230009039-1A_HLGGCDSX7_L1_C",10,0.303030303030303,-0.518513939877888
"z6499_T1_DKDL230009033-1A_HLGLNDSX7_L1",10,0.303030303030303,-0.518513939877888
"z7584_T1_DKDL230010213-1A_HTJYJDSX7_L4",10,0.303030303030303,-0.518513939877888
"z7841_T1_DKDL230009034-1A_HLGLNDSX7_L1",10,0.303030303030303,-0.518513939877888
"z8597_T1_DKDL230009032-1A_HLGLNDSX7_L1",10,0.303030303030303,-0.518513939877888
"z8884_T7_DKDL230009033-1A_HLGLNDSX7_L1",10,0.303030303030303,-0.518513939877888
"z9013_T1_DKDL230009033-1A_HLGLNDSX7_L1",10,0.303030303030303,-0.518513939877888
"z925_T1_DKDL230010211-1A_HTJYJDSX7_L4",10,0.303030303030303,-0.518513939877888
"z10139_T1_DKDL230010213-1A_HTJYJDSX7_L4",11,0.333333333333333,-0.477121254719662
"z13714_T1_DKDL230010209-1A_HTJYJDSX7_L3",11,0.333333333333333,-0.477121254719662
"z1430_T1_DKDL230010211-1A_HTJYJDSX7_L4",11,0.333333333333333,-0.477121254719662
"z3521_T1_DKDL230010210-1A_HTJYJDSX7_L3",11,0.333333333333333,-0.477121254719662
"z3736_T1_DKDL230009037-1A_HLGLNDSX7_L2",11,0.333333333333333,-0.477121254719662
"z6434_T2_DKDL230009040-1A_HLGGCDSX7_L1_C",11,0.333333333333333,-0.477121254719662
"z7784_T1_DKDL230009037-1A_HLGLNDSX7_L2",11,0.333333333333333,-0.477121254719662
"z8095_T1_DKDL230009033-1A_HLGLNDSX7_L1",11,0.333333333333333,-0.477121254719662
"z9036_T1_DKDL230009034-1A_HLGLNDSX7_L1",11,0.333333333333333,-0.477121254719662
"z9733_T1_DKDL230010213-1A_HTJYJDSX7_L4",11,0.333333333333333,-0.477121254719662
"z10372_T1_DKDL230008411-1A_HJJMVDSX7_L1",12,0.363636363636364,-0.439332693830263
"z10522_T1_DKDL230009036-1A_HLGLNDSX7_L1",12,0.363636363636364,-0.439332693830263
"z13775_T1_DKDL230010209-1A_HTJYJDSX7_L3",12,0.363636363636364,-0.439332693830263
"z2593_T1_DKDL230010212-1A_HTJYJDSX7_L4",12,0.363636363636364,-0.439332693830263
"z4394_T1_DKDL230009038-1A_HLGGCDSX7_L1_C",12,0.363636363636364,-0.439332693830263
"z4700_T1_DKDL230009038-1A_HLGGCDSX7_L1_C",12,0.363636363636364,-0.439332693830263
"z4980_T1_DKDL230009039-1A_HLGGCDSX7_L1_C",12,0.363636363636364,-0.439332693830263
"z5230_T1_DKDL230009039-1A_HLGGCDSX7_L1_C",12,0.363636363636364,-0.439332693830263
"z7678_T2_DKDL230010213-1A_HTJYJDSX7_L4",12,0.363636363636364,-0.439332693830263
"BC128_T1_DKDL230008411-1A_HJJMVDSX7_L1",13,0.393939393939394,-0.404570587571051
"z11031_T1_DKDL230009035-1A_HLGLNDSX7_L1",13,0.393939393939394,-0.404570587571051
"z13651_T1_DKDL230009033-1A_HLGLNDSX7_L1",13,0.393939393939394,-0.404570587571051
"z9459_T1_DKDL230009035-1A_HLGLNDSX7_L1",13,0.393939393939394,-0.404570587571051
"BC133_T1_DKDL230008411-1A_HJJMVDSX7_L1",14,0.424242424242424,-0.372385904199649
"z4762_T1_DKDL230009036-1A_HLGLNDSX7_L1",14,0.424242424242424,-0.372385904199649
"z6546_T1_DKDL230009033-1A_HLGLNDSX7_L1",14,0.424242424242424,-0.372385904199649
"z7912_T1_DKDL230009034-1A_HLGLNDSX7_L1",14,0.424242424242424,-0.372385904199649
"z8731_T1_DKDL230009031-1A_HLGLNDSX7_L1",14,0.424242424242424,-0.372385904199649
"z2195_T2_DKDL230010211-1A_HTJYJDSX7_L4",15,0.454545454545455,-0.342422680822206
"z4791_T1_DKDL230009037-1A_HLGLNDSX7_L2",15,0.454545454545455,-0.342422680822206
"z9704_T2_DKDL230010213-1A_HTJYJDSX7_L4",15,0.454545454545455,-0.342422680822206
"z5233_T1_DKDL230009039-1A_HLGGCDSX7_L1_C",16,0.484848484848485,-0.314393957221963
"z10397_T1_DKDL230009032-1A_HLGLNDSX7_L1",17,0.515151515151515,-0.288065018499614
"z10227_T1_DKDL230009040-1A_HLGGCDSX7_L1_C",18,0.545454545454545,-0.263241434774581
"z7716_T1_DKDL230009034-1A_HLGLNDSX7_L1",19,0.575757575757576,-0.239760338925058
"z154_T1_DKDL230010210-1A_HTJYJDSX7_L3",26,0.787878787878788,-0.10354059190707
